# 0Yjpy_Xay9jLx9mIkIrx8ZqEmpqTn5yTmZ2dk5OanpmanJiZhoqahJqb94aK8ZqEmpOfnJOZnZ2Tk5qemZqcmJiGipuEmveGivGHmoSbmp-YnJmbn52Sk56dmZySnIaKmPf3hoqI4Zv13tjfz4iQipqEm4aKiOHj9drL3sbLwYiQipqEmpiTnp2bnpKcnpydnZibhoqI4eP13tjfz4iQipqEmpiTnpubnZyenZqfkpKYmZ-choqIwZj13tjfz4iQipqEm5iampqampqampqampqampuGiojBmfXe2N_PiJCKmoSan4aKiMTFw9nP9cbP3M_GiJCKmoSam4aKiMTYz9qIkIqbmpqGiojZz8_OiJCKnpiGioje2d7L2N712svexsvBiJCKm5-Emtc=
# t(min) Ca CT
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.333333333333332871e-02 8.500595084104625720e-03 1.093023684058196563e-05
1.666666666666666574e-01 1.513212970378369215e-02 2.563669623056667973e-04
2.500000000000000000e-01 2.022654254806256768e-02 5.658946816178404577e-04
3.333333333333333148e-01 2.406121542998951313e-02 4.197617225373292786e-04
4.166666666666666852e-01 2.686763646193002231e-02 6.269968900852369593e-04
5.000000000000000000e-01 2.883871027208756432e-02 1.190124225387159760e-03
5.833333333333333703e-01 3.013492480536918150e-02 1.274817991892469773e-03
6.666666666666666297e-01 3.088955193596133741e-02 1.286322943242380803e-03
7.500000000000000000e-01 3.121303177604360310e-02 1.719373712545207685e-03
8.333333333333333703e-01 3.119666743058829850e-02 1.774847772449211119e-03
9.166666666666666297e-01 3.091573737523394677e-02 2.013913971531621199e-03
1.250000000000000000e+00 2.822670606921431208e-02 3.036742000807055204e-03
1.583333333333333259e+00 2.462780528365110869e-02 3.385282358821259472e-03
1.916666666666666741e+00 2.118631044967633423e-02 4.027206272373250878e-03
2.916666666666666519e+00 1.416441091673577811e-02 5.407321527328194655e-03
3.916666666666666519e+00 1.106511508651821830e-02 5.928622198817620065e-03
4.916666666666666963e+00 9.805430568208244740e-03 6.552516888430379161e-03
7.416666666666666963e+00 8.942817697126757837e-03 6.981755058728196864e-03
9.916666666666666075e+00 8.670671678230199020e-03 7.456281980492852207e-03
1.491666666666666607e+01 8.243338343306615135e-03 9.065506261439674682e-03
1.991666666666666785e+01 7.841275937500518170e-03 9.761596459784757998e-03
2.491666666666666785e+01 7.458852194899359862e-03 1.077515144624795196e-02
2.991666666666666785e+01 7.095079679425702994e-03 1.140741426302512539e-02
3.491666666666666430e+01 6.749048560237629404e-03 1.243721812673269367e-02
3.991666666666666430e+01 6.419893577882151287e-03 1.338255915816710662e-02
4.491666666666666430e+01 6.106791673444666654e-03 1.393001778310766145e-02
4.991666666666666430e+01 5.808959929076523004e-03 1.495941532906415808e-02
5.491666666666666430e+01 5.525653610283168780e-03 1.548557903136888077e-02
5.991666666666666430e+01 5.256164303699953008e-03 1.621693800093526941e-02
6.491666666666667140e+01 4.999818145689701246e-03 1.679997884972488087e-02
6.991666666666667140e+01 4.755974137332641405e-03 1.786733949295227566e-02
7.491666666666667140e+01 4.524022541595208724e-03 1.809919025023061165e-02
7.991666666666667140e+01 4.303383358669868146e-03 1.845600807087322340e-02
