# 0Yjpy_Xay9jLx9mIkIrx8ZqEmpmSkpmek5-bnp-cmZuanJ2choqahJqe94aK8ZqEmpOdmpKdmZ2SnJ6anZ2cnYaKm4Sa94aK8YeahJuZn5OYmJmZmpqTnZqSnZmdhoqY9_eGiojhm_Xe2N_PiJCKmoSbhoqI4eP12svexsvBiJCKmoSamJOYnZOfnJ2Snp6SmJiTk5iGiojh4_Xe2N_PiJCKmoSamJOem5udnJ6dmp-SkpiZn5yGiojBmPXe2N_PiJCKmoSbmJqampqampqampqampqam4aKiMGZ9d7Y38-IkIqahJqfhoqIxMXD2c_1xs_cz8aIkIqahJqbhoqIxNjP2oiQipuamoaKiNnPz86IkIqemIaKiN7Z3svY3vXay97Gy8GIkIqbn4Sa1w==
# t(min) Ca CT
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.333333333333332871e-02 1.297464914604590236e-02 1.559252126290699996e-05
1.666666666666666574e-01 2.336699928051678976e-02 3.961640086806223664e-04
2.500000000000000000e-01 3.161920320129954498e-02 8.782559627110045428e-04
3.333333333333333148e-01 3.810188433505230787e-02 6.527169254740418196e-04
4.166666666666666852e-01 4.312540969118264234e-02 9.833164468787938730e-04
5.000000000000000000e-01 4.694940887333166890e-02 1.874973155504976348e-03
5.833333333333333703e-01 4.979081027659702785e-02 2.026480603908199264e-03
6.666666666666666297e-01 5.183062382639151006e-02 2.070581124740241731e-03
7.500000000000000000e-01 5.321966426724429600e-02 2.779451622393292777e-03
8.333333333333333703e-01 5.408337909973728180e-02 2.906195356363819836e-03
9.166666666666666297e-01 5.452591995550309933e-02 3.326365848444777073e-03
1.250000000000000000e+00 5.359976394048711346e-02 5.175848189989771565e-03
1.583333333333333259e+00 5.065441694587469179e-02 6.060924803348053530e-03
1.916666666666666741e+00 4.730908372683319263e-02 7.467453221269822541e-03
2.916666666666666519e+00 3.941425777138695546e-02 1.101459551731778438e-02
3.916666666666666519e+00 3.508234193839588483e-02 1.322668818313638660e-02
4.916666666666666963e+00 3.260526003760225167e-02 1.545250749053916905e-02
7.416666666666666963e+00 2.892401336913337506e-02 1.846753046439679469e-02
9.916666666666666075e+00 2.612355453308598877e-02 2.062858871611284589e-02
1.491666666666666607e+01 2.138426764171709460e-02 2.429471170978022773e-02
1.991666666666666785e+01 1.750793133901388382e-02 2.536738392298837699e-02
2.491666666666666785e+01 1.433428163341793349e-02 2.641335348716449330e-02
2.991666666666666785e+01 1.173591719537015431e-02 2.662840832756495704e-02
3.491666666666666430e+01 9.608556323418228698e-03 2.735774881721267371e-02
3.991666666666666430e+01 7.866820554664354440e-03 2.791078377280968581e-02
4.491666666666666430e+01 6.440807917049695512e-03 2.782940989519758906e-02
4.991666666666666430e+01 5.273287516356724505e-03 2.850329303553080992e-02
5.491666666666666430e+01 4.317402659463460968e-03 2.840507710983499953e-02
5.991666666666666430e+01 3.534790330723402117e-03 2.864641471013279483e-02
6.491666666666667140e+01 2.894041549445937507e-03 2.867979248280132579e-02
6.991666666666667140e+01 2.369440817216842809e-03 2.949510823435361542e-02
7.491666666666667140e+01 1.939934064653654104e-03 2.903471871797923959e-02
7.991666666666667140e+01 1.588283677675516843e-03 2.879844225223198925e-02
