# 0Yjpy_Xay9jLx9mIkIrx8ZqEmpqTn5yTmZ2dk5OanpmanJiZhoqahJqb94aK8ZqEmpOfnJOZnZ2Tk5qemZqcmJiGipuEmveGivGHmoSbmp-YnJmbn52Sk56dmZySnIaKmPf3hoqI4Zv13tjfz4iQipqEnoaKiOHj9drL3sbLwYiQipqEmpiTn5iekpObnp2emZqamJ-choqI4eP13tjfz4iQipqEmpiTnpubnZyenZqfkpKYmZ-choqIwZj13tjfz4iQipqEm5-dn4aKiMGZ9d7Y38-IkIqahJqbmJ-GiojExcPZz_XGz9zPxoiQipqEmpuGiojE2M_aiJCKm5qahoqI2c_PzoiQip6YhoqI3tney9je9drL3sbLwYiQipufhJrX
# t(min) Ca CT
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.333333333333332871e-02 8.500595084104625720e-03 1.097812132352356598e-04
1.666666666666666574e-01 1.513212970378369215e-02 7.141089749748558146e-04
2.500000000000000000e-01 2.022654254806256768e-02 1.530453289021480121e-03
3.333333333333333148e-01 2.406121542998951313e-02 1.782853381440654712e-03
4.166666666666666852e-01 2.686763646193002231e-02 2.604768644766986690e-03
5.000000000000000000e-01 2.883871027208756432e-02 3.979154365611435595e-03
5.833333333333333703e-01 3.013492480536918150e-02 4.694166846005147498e-03
6.666666666666666297e-01 3.088955193596133741e-02 5.317087780193044573e-03
7.500000000000000000e-01 3.121303177604360310e-02 6.546174989195958742e-03
8.333333333333333703e-01 3.119666743058829850e-02 7.228436972417507170e-03
9.166666666666666297e-01 3.091573737523394677e-02 8.161477917366828649e-03
1.250000000000000000e+00 2.822670606921431208e-02 1.178897355079014039e-02
1.583333333333333259e+00 2.462780528365110869e-02 1.405169153146367325e-02
1.916666666666666741e+00 2.118631044967633423e-02 1.633467644174331837e-02
2.916666666666666519e+00 1.416441091673577811e-02 2.059563574471218877e-02
3.916666666666666519e+00 1.106511508651821830e-02 2.210477801437182171e-02
4.916666666666666963e+00 9.805430568208244740e-03 2.314247720760826549e-02
7.416666666666666963e+00 8.942817697126757837e-03 2.337460379497091970e-02
9.916666666666666075e+00 8.670671678230199020e-03 2.347611335567547156e-02
1.491666666666666607e+01 8.243338343306615135e-03 2.459158853413404011e-02
1.991666666666666785e+01 7.841275937500518170e-03 2.442509810848894278e-02
2.491666666666666785e+01 7.458852194899359862e-03 2.475711222434518605e-02
2.991666666666666785e+01 7.095079679425702994e-03 2.459195140199379667e-02
3.491666666666666430e+01 6.749048560237629404e-03 2.504614462928902302e-02
3.991666666666666430e+01 6.419893577882151287e-03 2.542811987009909250e-02
4.491666666666666430e+01 6.106791673444666654e-03 2.528708542527453862e-02
4.991666666666666430e+01 5.808959929076523004e-03 2.588140364311550951e-02
5.491666666666666430e+01 5.525653610283168780e-03 2.579766108777848538e-02
5.991666666666666430e+01 5.256164303699953008e-03 2.604868673481510258e-02
6.491666666666667140e+01 4.999818145689701246e-03 2.612607726972990610e-02
6.991666666666667140e+01 4.755974137332641405e-03 2.693424421337667352e-02
7.491666666666667140e+01 4.524022541595208724e-03 2.658064164803253249e-02
7.991666666666667140e+01 4.303383358669868146e-03 2.643950606540863141e-02
