# 0Yjpy_Xay9jLx9mIkIrx8ZqEmpmSkpmek5-bnp-cmZuanJ2choqahJqe94aK8ZqEmpOdmpKdmZ2SnJ6anZ2cnYaKm4Sa94aK8YeahJuZn5OYmJmZmpqTnZqSnZmdhoqY9_eGiojhm_Xe2N_PiJCKmoSehoqI4eP12svexsvBiJCKmoSamJOZm52bnpyckpmYn5ucnp-Giojh4_Xe2N_PiJCKmoSamJOem5udnJ6dmp-SkpiZn5yGiojBmPXe2N_PiJCKmoSbn52fhoqIwZn13tjfz4iQipqEmpuYn4aKiMTFw9nP9cbP3M_GiJCKmoSam4aKiMTYz9qIkIqbmpqGiojZz8_OiJCKnpiGioje2d7L2N712svexsvBiJCKm5-Emtc=
# t(min) Ca CT
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.333333333333332871e-02 1.297464914604590236e-02 1.302863773237292742e-04
1.666666666666666574e-01 2.336699928051678976e-02 1.263606886926219551e-03
2.500000000000000000e-01 3.161920320129954498e-02 2.756570263497111570e-03
3.333333333333333148e-01 3.810188433505230787e-02 2.713429323752561493e-03
4.166666666666666852e-01 4.312540969118264234e-02 4.024857370711651221e-03
5.000000000000000000e-01 4.694940887333166890e-02 6.682391759289987854e-03
5.833333333333333703e-01 4.979081027659702785e-02 7.668670191780496692e-03
6.666666666666666297e-01 5.183062382639151006e-02 8.430012365126240623e-03
7.500000000000000000e-01 5.321966426724429600e-02 1.073688088917111941e-02
8.333333333333333703e-01 5.408337909973728180e-02 1.170487661050224372e-02
9.166666666666666297e-01 5.452591995550309933e-02 1.334675355889674078e-02
1.250000000000000000e+00 5.359976394048711346e-02 2.018604252466943069e-02
1.583333333333333259e+00 5.065441694587469179e-02 2.450388828226127136e-02
1.916666666666666741e+00 4.730908372683319263e-02 2.968602185955222100e-02
2.916666666666666519e+00 3.941425777138695546e-02 4.193556955296626199e-02
3.916666666666666519e+00 3.508234193839588483e-02 4.930688263868136800e-02
4.916666666666666963e+00 3.260526003760225167e-02 5.563713821695455419e-02
7.416666666666666963e+00 2.892401336913337506e-02 6.294508231532577880e-02
9.916666666666666075e+00 2.612355453308598877e-02 6.613181482631819152e-02
1.491666666666666607e+01 2.138426764171709460e-02 6.811728519179667540e-02
1.991666666666666785e+01 1.750793133901388382e-02 6.308448364405738751e-02
2.491666666666666785e+01 1.433428163341793349e-02 5.840688129145202301e-02
2.991666666666666785e+01 1.173591719537015431e-02 5.269453431011079936e-02
3.491666666666666430e+01 9.608556323418228698e-03 4.912131830426197387e-02
3.991666666666666430e+01 7.866820554664354440e-03 4.602039639629459944e-02
4.491666666666666430e+01 6.440807917049695512e-03 4.221803748639890719e-02
4.991666666666666430e+01 5.273287516356724505e-03 4.079943361137951252e-02
5.491666666666666430e+01 4.317402659463460968e-03 3.813313379475811310e-02
5.991666666666666430e+01 3.534790330723402117e-03 3.668980488381933663e-02
6.491666666666667140e+01 2.894041549445937507e-03 3.512830097372753035e-02
6.991666666666667140e+01 2.369440817216842809e-03 3.566688619959115097e-02
7.491666666666667140e+01 1.939934064653654104e-03 3.350613093411541898e-02
7.991666666666667140e+01 1.588283677675516843e-03 3.206139944292706045e-02
